event_key,name,event_start,event_end,event_type,description,speakers,artists,venue,venue_id,address,media_url,rsvp_url,Cost,Learn more
817,All Levels Yoga with Theresa,5/4/15 17:30,5/4/15 19:00,Yoga,"Movement, breath, alignment.&nbsp; Classic Hatha Yoga designed to accommodate all bodies.&nbsp; A great after work unwind.<br /><br />Fees are $10 per class in a series, paid upfront at the start of the series, which ends April 13.&nbsp;<br /><br />The series will be pro-rated for late joiners.&nbsp; Please note that we cannot give refunds for missed classes, but you are most welcome to make up any missed classes in a series, by attending another day/time with the same teacher.&nbsp;<br /><br />&nbsp;Drop-in fee is $14 /class.",,"Theresa Mundy (yoga, Hanover Yoga)",Hanover Yoga,972,"68 Lyme Road  Hanover, NH  03755",,http://www.hanoveryoga.com/theresa-mundy.html,,
818,All Levels Yoga with Theresa,5/11/15 17:30,5/11/15 19:00,Yoga,"Movement, breath, alignment.&nbsp; Classic Hatha Yoga designed to accommodate all bodies.&nbsp; A great after work unwind.<br /><br />Fees are $10 per class in a series, paid upfront at the start of the series, which ends April 13.&nbsp;<br /><br />The series will be pro-rated for late joiners.&nbsp; Please note that we cannot give refunds for missed classes, but you are most welcome to make up any missed classes in a series, by attending another day/time with the same teacher.&nbsp;<br /><br />&nbsp;Drop-in fee is $14 /class.",,"Theresa Mundy (yoga, Hanover Yoga)",Hanover Yoga,972,"68 Lyme Road  Hanover, NH  03755",,http://www.hanoveryoga.com/theresa-mundy.html,,
819,All Levels Yoga with Theresa,5/18/15 17:30,5/18/15 19:00,Yoga,"Movement, breath, alignment.&nbsp; Classic Hatha Yoga designed to accommodate all bodies.&nbsp; A great after work unwind.<br /><br />Fees are $10 per class in a series, paid upfront at the start of the series, which ends April 13.&nbsp;<br /><br />The series will be pro-rated for late joiners.&nbsp; Please note that we cannot give refunds for missed classes, but you are most welcome to make up any missed classes in a series, by attending another day/time with the same teacher.&nbsp;<br /><br />&nbsp;Drop-in fee is $14 /class.",,"Theresa Mundy (yoga, Hanover Yoga)",Hanover Yoga,972,"68 Lyme Road  Hanover, NH  03755",,http://www.hanoveryoga.com/theresa-mundy.html,,
1085,All Levels Yoga with Theresa,6/1/15 17:30,6/1/15 19:00,Yoga,"Movement, breath, alignment.&nbsp; Classic Hatha Yoga designed to accommodate all bodies.&nbsp; A great after work unwind.<br /><br />Fees are $10 per class in a series, paid upfront at the start of the series, which ends April 13.&nbsp;<br /><br />The series will be pro-rated for late joiners.&nbsp; Please note that we cannot give refunds for missed classes, but you are most welcome to make up any missed classes in a series, by attending another day/time with the same teacher.&nbsp;<br /><br />&nbsp;Drop-in fee is $14 /class.",,"Theresa Mundy (yoga, Hanover Yoga)",Hanover Yoga,972,"68 Lyme Road  Hanover, NH  03755",,http://www.hanoveryoga.com/theresa-mundy.html,,
1086,All Levels Yoga with Theresa,6/8/15 17:30,6/8/15 19:00,Yoga,"Movement, breath, alignment.&nbsp; Classic Hatha Yoga designed to accommodate all bodies.&nbsp; A great after work unwind.<br /><br />Fees are $10 per class in a series, paid upfront at the start of the series, which ends April 13.&nbsp;<br /><br />The series will be pro-rated for late joiners.&nbsp; Please note that we cannot give refunds for missed classes, but you are most welcome to make up any missed classes in a series, by attending another day/time with the same teacher.&nbsp;<br /><br />&nbsp;Drop-in fee is $14 /class.",,"Theresa Mundy (yoga, Hanover Yoga)",Hanover Yoga,972,"68 Lyme Road  Hanover, NH  03755",,http://www.hanoveryoga.com/theresa-mundy.html,,
768,Alzheimer's Disease Support and Education Group for Family Caregivers,5/13/15 17:30,5/13/15 18:30,Caregivers,"<p>Facilitator: Bernie Seifert, MSW, LICSW</p>
<p>Are you coping with a family member who has Alzheimer's disease or another dementia? Whether your family member lives with you, near you, or in another part of the country, the stresses of coping with this disease can be enormous.</p>
<p>Come listen to other Alzheimer's family members talk about their challenges and how they manage them. Share your story with a friendly group of people who will understand what you are going through, who will not make judgments, and who will offer practical advice on how to handle the challenges of caring for someone with dementia</p>
<p><strong><em>Note: Registration is not necessary. Contact us at (603) 653-3460 if you have any questions or need directions.</em></strong></p>",,,Dartmouth-Hitchcock Aging Resource Center,625,"46 Centerra Parkway, Lebanon NH 03766",http://schd.ws/hosted_files/uvwellness2015/69/alzheimer's.jpeg,http://www.dartmouth-hitchcock.org/classes_events/arc_eventdetail/72737/,,
776,Alzheimer's Disease Support and Education Group for Family Caregivers,5/27/15 12:30,5/27/15 13:30,Caregivers,"<p>Facilitator: Bernie Seifert, MSW, LICSW</p>
<p>Are you coping with a family member who has Alzheimer's disease or another dementia? Whether your family member lives with you, near you, or in another part of the country, the stresses of coping with this disease can be enormous.</p>
<p>Come listen to other Alzheimer's family members talk about their challenges and how they manage them. Share your story with a friendly group of people who will understand what you are going through, who will not make judgments, and who will offer practical advice on how to handle the challenges of caring for someone with dementia</p>
<p><strong><em>Note: Registration is not necessary. Contact us at (603) 653-3460 if you have any questions or need directions.</em></strong></p>",,,Dartmouth-Hitchcock Aging Resource Center,625,"46 Centerra Parkway, Lebanon NH 03766",http://schd.ws/hosted_files/uvwellness2015/69/alzheimer's.jpeg,http://www.dartmouth-hitchcock.org/classes_events/arc_eventdetail/72743/,,
1081,Alzheimer's Disease Support and Education Group for Family Caregivers,6/24/15 12:30,6/24/15 13:30,Caregivers,"<p>Facilitator: Bernie Seifert, MSW, LICSW</p>
<p>Are you coping with a family member who has Alzheimer's disease or another dementia? Whether your family member lives with you, near you, or in another part of the country, the stresses of coping with this disease can be enormous.</p>
<p>Come listen to other Alzheimer's family members talk about their challenges and how they manage them. Share your story with a friendly group of people who will understand what you are going through, who will not make judgments, and who will offer practical advice on how to handle the challenges of caring for someone with dementia</p>
<p><strong><em>Note: Registration is not necessary. Contact us at (603) 653-3460 if you have any questions or need directions.</em></strong></p>",,,Dartmouth-Hitchcock Aging Resource Center,625,"46 Centerra Parkway, Lebanon NH 03766",http://schd.ws/hosted_files/uvwellness2015/69/alzheimer's.jpeg,http://www.dartmouth-hitchcock.org/aging_resource_center/eventdetail/72744/,,
211,Alzheimer's Support and Education for Family Caregivers,4/8/15 17:30,4/8/15 18:30,Caregivers,"<p>Facilitator: Bernie Seifert, MSW, LICSW</p>
<p>Are you coping with a family member who has Alzheimer's disease or another dementia? Whether your family member lives with you, near you, or in another part of the country, the stresses of coping with this disease can be enormous.</p>
<p>Come listen to other Alzheimer's family members talk about their challenges and how they manage them. Share your story with a friendly group of people who will understand what you are going through, who will not make judgments, and who will offer practical advice on how to handle the challenges of caring for someone with dementia</p>
<p><strong><em>Note: Registration is not necessary. Contact us at (603) 653-3460 if you have any questions or need directions.</em></strong></p>",,,Dartmouth-Hitchcock Aging Resource Center,625,"46 Centerra Parkway, Lebanon NH 03766",http://schd.ws/hosted_files/uvwellness2015/17/caregiveralz.jpeg,http://www.dartmouth-hitchcock.org/classes_events/arc_eventdetail/72736/,Free,
219,Alzheimer's Support and Education for Family Caregivers,4/22/15 12:30,4/22/15 13:30,Caregivers,"<p>Facilitator: Bernie Seifert, MSW, LICSW</p>
<p>Are you coping with a family member who has Alzheimer's disease or another dementia? Whether your family member lives with you, near you, or in another part of the country, the stresses of coping with this disease can be enormous.</p>
<p>Come listen to other Alzheimer's family members talk about their challenges and how they manage them. Share your story with a friendly group of people who will understand what you are going through, who will not make judgments, and who will offer practical advice on how to handle the challenges of caring for someone with dementia</p>
<p><strong><em>Note: Registration is not necessary. Contact us at (603) 653-3460 if you have any questions or need directions.</em></strong></p>",,,Dartmouth-Hitchcock Aging Resource Center,625,"46 Centerra Parkway, Lebanon NH 03766",http://schd.ws/hosted_files/uvwellness2015/17/caregiveralz.jpeg,http://www.dartmouth-hitchcock.org/classes_events/arc_eventdetail/72742/,Free,
1080,Alzheimer's Support and Education for Family Caregivers,6/10/15 17:30,6/10/15 18:30,Caregivers,"<p>Facilitator: Bernie Seifert, MSW, LICSW</p>
<p>Are you coping with a family member who has Alzheimer's disease or another dementia? Whether your family member lives with you, near you, or in another part of the country, the stresses of coping with this disease can be enormous.</p>
<p>Come listen to other Alzheimer's family members talk about their challenges and how they manage them. Share your story with a friendly group of people who will understand what you are going through, who will not make judgments, and who will offer practical advice on how to handle the challenges of caring for someone with dementia</p>
<p><strong><em>Note: Registration is not necessary. Contact us at (603) 653-3460 if you have any questions or need directions.</em></strong></p>",,,Dartmouth-Hitchcock Aging Resource Center,625,"46 Centerra Parkway, Lebanon NH 03766",http://schd.ws/hosted_files/uvwellness2015/17/caregiveralz.jpeg,http://www.dartmouth-hitchcock.org/aging_resource_center/eventdetail/72738/,,
691,American Foundation for Suicide Prevention Campus 5K Walk,5/2/15 9:00,5/2/15 13:00,Mind and body,"<p>Join us for an Out of the Darkness Campus walk to benefit the American Foundation for Suicide Prevention. The event will take place Saturday May 2nd at 9am, beginning at the Geisel School of Medicine in Hanover. Individuals can sign up as a volunteer or as a walker (you can make teams, join our team, or register as an individual walker)&nbsp;<a href=""http://afsp.donordrive.com/event/dartmouth/"" target=""_blank"">here</a>.</p>
<p>Online registration closes at noon the Friday before the walk. However, anyone who would like to participate can register in person at the walk from the time check-in begins until the walk starts. Walk donations are accepted until June 30, 2015.</p>
<p>For more information, please contact Ryan Trimble (<a href=""mailto:Ryan.M.Trimble@hitchcock.org"" target=""_blank"">Ryan.M.Trimble@hitchcock.org</a>; 603-650-4904).</p>",,,Geisel School of Medicine at Dartmouth,1494,"Lyme Rd, Hanover, NH",http://schd.ws/hosted_files/uvwellness2015/30/Screen Shot 2015-04-10 at 8.16.20 AM.png,http://geiselmed.dartmouth.edu/mood/events/5k.php,,
978,An Invitation to Mindfulness,5/5/15 10:00,5/5/15 12:00,"Living with cancer, Mind and body","<p><strong>Organization:</strong>&nbsp;Norris Cotton Cancer Center</p>
<p>Mindfullness practices show you ways to take care of yourself. Are you interested in learning how to increase focus, calm, and clarity in your life? Would you like to decrease stress and improve your ability to accept and work with what is difficult? Mindfulness is a proven way for you to achieve an overall lasting transformation in your life. We invite you to join us for this introductory class.</p>
<p>No cost. Patients and supporters welcome.</p>
<p>Call (603) 650-7751 or email cancersupport@hitchcock.org</p>",,,Women's Health Resource Center,615,"9 Hanover St., Lebanon, NH 03766",http://schd.ws/hosted_files/uvwellness2015/d4/Screen Shot 2015-04-20 at 8.01.15 AM.png,http://cancer.dartmouth.edu/about_us/events_patfam.html,,
979,An Invitation to Mindfulness,5/12/15 10:00,5/12/15 12:00,"Living with cancer, Mind and body","<p><strong>Organization:</strong>&nbsp;Norris Cotton Cancer Center</p>
<p>Mindfullness practices show you ways to take care of yourself. Are you interested in learning how to increase focus, calm, and clarity in your life? Would you like to decrease stress and improve your ability to accept and work with what is difficult? Mindfulness is a proven way for you to achieve an overall lasting transformation in your life. We invite you to join us for this introductory class.</p>
<p>No cost. Patients and supporters welcome.</p>
<p>Call (603) 650-7751 or email cancersupport@hitchcock.org</p>",,,Women's Health Resource Center,615,"9 Hanover St., Lebanon, NH 03766",http://schd.ws/hosted_files/uvwellness2015/d4/Screen Shot 2015-04-20 at 8.01.15 AM.png,http://cancer.dartmouth.edu/about_us/events_patfam.html,,
980,An Invitation to Mindfulness,5/19/15 10:00,5/19/15 12:00,"Living with cancer, Mind and body","<p><strong>Organization:</strong>&nbsp;Norris Cotton Cancer Center</p>
<p>Mindfullness practices show you ways to take care of yourself. Are you interested in learning how to increase focus, calm, and clarity in your life? Would you like to decrease stress and improve your ability to accept and work with what is difficult? Mindfulness is a proven way for you to achieve an overall lasting transformation in your life. We invite you to join us for this introductory class.</p>
<p>No cost. Patients and supporters welcome.</p>
<p>Call (603) 650-7751 or email cancersupport@hitchcock.org</p>",,,Women's Health Resource Center,615,"9 Hanover St., Lebanon, NH 03766",http://schd.ws/hosted_files/uvwellness2015/d4/Screen Shot 2015-04-20 at 8.01.15 AM.png,http://cancer.dartmouth.edu/about_us/events_patfam.html,,
981,An Invitation to Mindfulness,5/26/15 10:00,5/26/15 12:00,"Living with cancer, Mind and body","<p><strong>Organization:</strong>&nbsp;Norris Cotton Cancer Center</p>
<p>Mindfullness practices show you ways to take care of yourself. Are you interested in learning how to increase focus, calm, and clarity in your life? Would you like to decrease stress and improve your ability to accept and work with what is difficult? Mindfulness is a proven way for you to achieve an overall lasting transformation in your life. We invite you to join us for this introductory class.</p>
<p>No cost. Patients and supporters welcome.</p>
<p>Call (603) 650-7751 or email cancersupport@hitchcock.org</p>",,,Women's Health Resource Center,615,"9 Hanover St., Lebanon, NH 03766",http://schd.ws/hosted_files/uvwellness2015/d4/Screen Shot 2015-04-20 at 8.01.15 AM.png,http://cancer.dartmouth.edu/about_us/events_patfam.html,,
987,Art Play!,5/7/15 17:00,5/7/15 19:00,Mind and body,"<p><strong>Organization:</strong>&nbsp;Norris Cotton Cancer Center</p>
<p><strong>Location:</strong>&nbsp;Tip Top Building, Studio 233, White River Junction, VT</p>
<p>This studio-based four-week art exploration is offered for people with cancer and other life-challenging illnesses. All supplies are provided. No art experience is needed. Patients and supporters are welcome. Space is limited. Registration required: 603-650-7751.</p>
<p>Call (603) 650-7751 or email cancersupport@hitchcock.org</p>",,,Tip Top Building,1266,"85 North Main Street White River Junction, VT 05001",http://schd.ws/hosted_files/uvwellness2015/c1/art.jpeg,http://cancer.dartmouth.edu/about_us/events_patfam.html,,
988,Art Play!,4/30/15 17:00,4/30/15 19:00,Mind and body,"<p><strong>Organization:</strong>&nbsp;Norris Cotton Cancer Center</p>
<p><strong>Location:</strong>&nbsp;Tip Top Building, Studio 233, White River Junction, VT</p>
<p>This studio-based four-week art exploration is offered for people with cancer and other life-challenging illnesses. All supplies are provided. No art experience is needed. Patients and supporters are welcome. Space is limited. Registration required: 603-650-7751.</p>
<p>Call (603) 650-7751 or email cancersupport@hitchcock.org</p>",,,Tip Top Building,1266,"85 North Main Street White River Junction, VT 05001",http://schd.ws/hosted_files/uvwellness2015/c1/art.jpeg,http://cancer.dartmouth.edu/about_us/events_patfam.html,,
989,Art Play!,5/14/15 17:00,5/14/15 19:00,Mind and body,"<p><strong>Organization:</strong>&nbsp;Norris Cotton Cancer Center</p>
<p><strong>Location:</strong>&nbsp;Tip Top Building, Studio 233, White River Junction, VT</p>
<p>This studio-based four-week art exploration is offered for people with cancer and other life-challenging illnesses. All supplies are provided. No art experience is needed. Patients and supporters are welcome. Space is limited. Registration required: 603-650-7751.</p>
<p>Call (603) 650-7751 or email cancersupport@hitchcock.org</p>",,,Tip Top Building,1266,"85 North Main Street White River Junction, VT 05001",http://schd.ws/hosted_files/uvwellness2015/c1/art.jpeg,http://cancer.dartmouth.edu/about_us/events_patfam.html,,
990,Art Play!,5/21/15 17:00,5/21/15 19:00,Mind and body,"<p><strong>Organization:</strong>&nbsp;Norris Cotton Cancer Center</p>
<p><strong>Location:</strong>&nbsp;Tip Top Building, Studio 233, White River Junction, VT</p>
<p>This studio-based four-week art exploration is offered for people with cancer and other life-challenging illnesses. All supplies are provided. No art experience is needed. Patients and supporters are welcome. Space is limited. Registration required: 603-650-7751.</p>
<p>Call (603) 650-7751 or email cancersupport@hitchcock.org</p>",,,Tip Top Building,1266,"85 North Main Street White River Junction, VT 05001",http://schd.ws/hosted_files/uvwellness2015/c1/art.jpeg,http://cancer.dartmouth.edu/about_us/events_patfam.html,,
243,Basic Qigong,4/6/15 8:00,4/6/15 9:00,Mind and body,"Ongoing qigong class open to beginner and continuing students.<br /><br />For your convenience, classes may be purchased online as well as at the studio by cash or check.",,"Charles Meyers (acupuncture, tai chi)",Ancient Healing Arts Yoga Studio,1700,"2 West Park Street, Lebanon, NH 03766",http://schd.ws/hosted_files/uvwellness2015/cc/ancient_yoga.gif,http://ahayoga.com/classes/spring-2015,,
244,Basic Qigong,4/13/15 8:00,4/13/15 9:00,Mind and body,"Ongoing qigong class open to beginner and continuing students.<br /><br />For your convenience, classes may be purchased online as well as at the studio by cash or check.",,"Charles Meyers (acupuncture, tai chi)",Ancient Healing Arts Yoga Studio,1700,"2 West Park Street, Lebanon, NH 03766",http://schd.ws/hosted_files/uvwellness2015/cc/ancient_yoga.gif,http://ahayoga.com/classes/spring-2015,,
245,Basic Qigong,4/20/15 8:00,4/20/15 9:00,Mind and body,"Ongoing qigong class open to beginner and continuing students.<br /><br />For your convenience, classes may be purchased online as well as at the studio by cash or check.",,"Charles Meyers (acupuncture, tai chi)",Ancient Healing Arts Yoga Studio,1700,"2 West Park Street, Lebanon, NH 03766",http://schd.ws/hosted_files/uvwellness2015/cc/ancient_yoga.gif,http://ahayoga.com/classes/spring-2015,,
246,Basic Qigong,4/27/15 8:00,4/27/15 9:00,Mind and body,"Ongoing qigong class open to beginner and continuing students.<br /><br />For your convenience, classes may be purchased online as well as at the studio by cash or check.",,"Charles Meyers (acupuncture, tai chi)",Ancient Healing Arts Yoga Studio,1700,"2 West Park Street, Lebanon, NH 03766",http://schd.ws/hosted_files/uvwellness2015/cc/ancient_yoga.gif,http://ahayoga.com/classes/spring-2015,,
267,Basic Qigong,4/1/15 16:30,4/1/15 17:30,Mind and body,"Ongoing qigong class open to beginner and continuing students.<br /><br />For your convenience, classes may be purchased online as well as at the studio by cash or check.",,"Charles Meyers (acupuncture, tai chi)",Ancient Healing Arts Yoga Studio,1700,"2 West Park Street, Lebanon, NH 03766",http://schd.ws/hosted_files/uvwellness2015/cc/ancient_yoga.gif,http://ahayoga.com/classes/spring-2015,,
268,Basic Qigong,4/8/15 16:30,4/8/15 17:30,Mind and body,"Ongoing qigong class open to beginner and continuing students.<br /><br />For your convenience, classes may be purchased online as well as at the studio by cash or check.",,"Charles Meyers (acupuncture, tai chi)",Ancient Healing Arts Yoga Studio,1700,"2 West Park Street, Lebanon, NH 03766",http://schd.ws/hosted_files/uvwellness2015/cc/ancient_yoga.gif,http://ahayoga.com/classes/spring-2015,,
269,Basic Qigong,4/15/15 16:30,4/15/15 17:30,Mind and body,"Ongoing qigong class open to beginner and continuing students.<br /><br />For your convenience, classes may be purchased online as well as at the studio by cash or check.",,"Charles Meyers (acupuncture, tai chi)",Ancient Healing Arts Yoga Studio,1700,"2 West Park Street, Lebanon, NH 03766",http://schd.ws/hosted_files/uvwellness2015/cc/ancient_yoga.gif,http://ahayoga.com/classes/spring-2015,,
270,Basic Qigong,4/22/15 16:30,4/22/15 17:30,Mind and body,"Ongoing qigong class open to beginner and continuing students.<br /><br />For your convenience, classes may be purchased online as well as at the studio by cash or check.",,"Charles Meyers (acupuncture, tai chi)",Ancient Healing Arts Yoga Studio,1700,"2 West Park Street, Lebanon, NH 03766",http://schd.ws/hosted_files/uvwellness2015/cc/ancient_yoga.gif,http://ahayoga.com/classes/spring-2015,,
